player,alpha,beta_pressure,beta_aggr,n_points
John Isner,0.4586612566362571,-0.5297460520488688,1.0702450736259996,511
Tomas Berdych,0.36784544625700133,-0.5283926591750656,1.0294549343079347,635
Kevin Anderson,0.40771868102742764,-0.5372807881022307,0.9912416181061775,870
Jannik Sinner,0.46068194599191264,-0.5151179253571638,0.9491249998892465,783
Roger Federer,0.40947559387729165,-0.5352846791482138,0.9373447282711144,1661
Marin Cilic,0.33399214578590686,-0.5347776383861556,0.9350298409319547,647
Sam Querrey,0.3407186648722323,-0.532905755890157,0.9027114044393231,905
Alexander Zverev,0.33086268763036797,-0.5181175556732919,0.8969038329752381,456
Hubert Hurkacz,0.3173158954561319,-0.5321828382500731,0.8756362279186255,510
Daniil Medvedev,0.24551596216191296,-0.5200169435071726,0.8722581177743098,719
Dominic Thiem,0.3859567211072808,-0.5132540111249437,0.871528413501532,132
Denis Shapovalov,0.29118665487707734,-0.5474951989324417,0.8708447527279887,434
Milos Raonic,0.41524993612586875,-0.5265672303914105,0.8612651424205792,1191
Gilles Simon,0.2131934797788306,-0.5264446895227489,0.860133373587644,201
Matteo Berrettini,0.28845831332955785,-0.5407729266685959,0.8592106243210755,642
Gael Monfils,0.3364937754938806,-0.526540448533778,0.8568374569264713,165
Alexander Bublik,0.3974323169416035,-0.5225443054227659,0.8554241526475531,164
Gilles Muller,0.31622496244877357,-0.5340105334106873,0.8524635297550981,357
Alex de Minaur,0.3089519490116125,-0.5256023755826028,0.8429949308954169,302
Daniel Elahi Galan,0.2528768905746626,-0.526846422440938,0.8380443321066198,127
Andy Murray,0.36829174993656477,-0.5228317921095981,0.8288457490292164,663
Nick Kyrgios,0.1641634191827924,-0.5317927021049689,0.8247193871602716,467
Karen Khachanov,0.1230143215106658,-0.5479225814783829,0.8133168685457679,418
Felix Auger Aliassime,0.3071120182521439,-0.512436992399597,0.8069624291689658,263
Andrey Rublev,0.3494174303866049,-0.5197332499528229,0.8067910690705249,387
Botic Van De Zandschulp,0.2286824620751398,-0.531443038564919,0.8014600258147956,101
Giovanni Mpetshi Perricard,0.253375069909132,-0.5403939902533291,0.7986438946030079,108
Ben Shelton,0.2528238268020463,-0.5271083534862153,0.7818756319685011,96
Bernard Tomic,0.20937925520335696,-0.5375270021183491,0.7791938086493042,178
David Goffin,0.2037615546344687,-0.5448318887201546,0.7790375624270836,689
Richard Gasquet,0.3203840371843388,-0.5283952167411446,0.7771310478594379,14
Marton Fucsovics,0.31730739402910296,-0.5200328075819265,0.7638806614602238,220
Holger Rune,0.37161180367883306,-0.5308795213501869,0.7632209213378719,304
Taylor Fritz,0.3753133024554548,-0.5200786065308097,0.7611723700741828,536
Juan Martin Del Potro,0.31318979868240204,-0.5243056652063582,0.761104921191159,344
Grigor Dimitrov,0.24399919527655337,-0.5378707387554779,0.7571746516953506,263
Cameron Norrie,0.23590884217005442,-0.5313899829028438,0.7559077080960369,376
Frances Tiafoe,0.26773011602780716,-0.528050829680836,0.75129200221195,192
Jo Wilfried Tsonga,0.2264091128228337,-0.533167144134275,0.7510971089540617,177
Rafael Nadal,0.4882328962496651,-0.5376236693677425,0.7492796039295682,1158
Ernests Gulbis,0.3665437350772981,-0.53427549048365,0.748905626329944,132
Jiri Lehecka,0.2164243566550876,-0.5286501960784417,0.7466242496793588,75
Stefanos Tsitsipas,0.475129947794216,-0.5260160153091825,0.7432458636046422,243
Lucas Pouille,0.2754167771664632,-0.5319368470259187,0.7332681995971569,267
Jason Kubler,0.1422531865969842,-0.5368026778826281,0.7327312316118292,90
Novak Djokovic,0.44746063744614195,-0.5405169548574997,0.7300335811283741,2694
Tennys Sandgren,0.42854271099590524,-0.5320462395230616,0.7263182991147284,149
Christopher Eubanks,0.25165365682819096,-0.5344592864051279,0.7254573067488499,311
Cristian Garin,0.20207479696812025,-0.5357529094982714,0.7229523022245313,348
Brandon Nakashima,0.3274477322067559,-0.5360120601680157,0.7215872425755322,148
Jiri Vesely,0.3131847095163857,-0.5284555365883792,0.7094040383636776,253
Ilya Ivashka,0.17768087753866085,-0.5385787520134183,0.7036706644341757,86
Nicolas Mahut,0.29086035153609713,-0.5325006246003288,0.7034891304700261,105
Fernando Verdasco,0.25028104192940215,-0.5326246971396147,0.7027165821852109,137
Lorenzo Sonego,0.2457491254008814,-0.5320564519134008,0.7003872752878723,108
Joao Sousa,0.18852725663765318,-0.5373944459490125,0.6925101800700216,76
Benoit Paire,0.11224603967160135,-0.5365256143279118,0.6908869708023198,229
Ugo Humbert,0.1815516863430247,-0.5460952923221303,0.6860485574781254,188
Roberto Bautista Agut,0.13476999961020628,-0.5277120953159388,0.6857709196366122,565
Sebastian Korda,0.19177156208608628,-0.5436790047802329,0.6825962476151389,158
Roman Safiullin,0.3464569583472748,-0.5261467727760891,0.6717758618056258,204
Mikhail Kukushkin,0.2112815361077846,-0.5359142190264397,0.6623413285341267,122
Lorenzo Musetti,0.34675842793674644,-0.5257434817140869,0.6620087931935394,336
Guido Pella,0.3125420170709443,-0.526026683592576,0.6547621828218988,307
Steve Johnson,0.1658755628462941,-0.5367980123072731,0.6535668792859288,101
Tommy Paul,0.3332110776019825,-0.5210586891036006,0.6512785513646205,327
Mackenzie Mcdonald,0.2730334862399074,-0.5290233043309235,0.6496406073483373,124
Arthur Fils,0.09509035064943624,-0.5353642605309935,0.648614476696549,124
Tim Van Rijthoven,0.14861108937724435,-0.5375092343013997,0.631115312381522,124
Kei Nishikori,0.2185337390592615,-0.5170022116180915,0.624630021337273,559
Carlos Alcaraz,0.4642085616140709,-0.5128999145648472,0.5702489524454294,1010
Adrian Mannarino,0.1902603400116345,-0.5318459502693207,0.5291634845470593,202
