,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_alpha,0.289,0.03,0.23,0.342,0.0,0.0,7219.0,6470.0,1.0
sigma_alpha,0.142,0.026,0.093,0.191,0.0,0.0,3365.0,4995.0,1.0
mu_pressure,-0.531,0.07,-0.663,-0.401,0.001,0.001,16640.0,6441.0,1.0
sigma_pressure,0.067,0.051,0.0,0.16,0.001,0.001,5448.0,4406.0,1.0
mu_aggr,0.771,0.036,0.705,0.841,0.0,0.0,7597.0,6669.0,1.0
sigma_aggr,0.17,0.036,0.105,0.24,0.001,0.0,3338.0,4921.0,1.0
alpha_player_hier[Adrian Mannarino],0.19,0.112,-0.016,0.401,0.001,0.001,12640.0,6214.0,1.0
alpha_player_hier[Alex de Minaur],0.309,0.092,0.13,0.477,0.001,0.001,18916.0,6813.0,1.0
alpha_player_hier[Alexander Bublik],0.397,0.116,0.181,0.621,0.001,0.001,18100.0,6392.0,1.0
alpha_player_hier[Alexander Zverev],0.331,0.093,0.157,0.505,0.001,0.001,14598.0,6638.0,1.0
alpha_player_hier[Andrey Rublev],0.349,0.094,0.174,0.524,0.001,0.001,17533.0,6950.0,1.0
alpha_player_hier[Andy Murray],0.368,0.086,0.2,0.524,0.001,0.001,14970.0,6575.0,1.0
alpha_player_hier[Arthur Fils],0.095,0.131,-0.163,0.326,0.001,0.001,9624.0,6424.0,1.0
alpha_player_hier[Ben Shelton],0.253,0.124,0.023,0.488,0.001,0.002,17337.0,6142.0,1.0
alpha_player_hier[Benoit Paire],0.112,0.117,-0.102,0.34,0.001,0.001,11573.0,5656.0,1.0
alpha_player_hier[Bernard Tomic],0.209,0.118,-0.007,0.43,0.001,0.001,12439.0,6081.0,1.0
alpha_player_hier[Botic Van De Zandschulp],0.229,0.12,0.005,0.454,0.001,0.002,14933.0,6109.0,1.0
alpha_player_hier[Brandon Nakashima],0.327,0.116,0.119,0.557,0.001,0.001,17778.0,6320.0,1.0
alpha_player_hier[Cameron Norrie],0.236,0.096,0.051,0.411,0.001,0.001,14580.0,6799.0,1.0
alpha_player_hier[Carlos Alcaraz],0.464,0.076,0.315,0.601,0.001,0.001,12864.0,6884.0,1.0
alpha_player_hier[Christopher Eubanks],0.252,0.108,0.033,0.441,0.001,0.001,14828.0,6235.0,1.0
alpha_player_hier[Cristian Garin],0.202,0.094,0.029,0.384,0.001,0.001,13493.0,5810.0,1.0
